timestamp_utc,id,market,stance,observed_price,implied_probability,estimated_fair_value,simulated_size,confidence,status
2026-06-18T09:11:59Z,PT-20260618-213,Polymarket Shanghai/ZSPD Jun 19 highest temperature 28C YES,BUY_YES,12c,12%,24%-34%,$5,low,open
2026-06-18T09:11:59Z,PT-20260618-214,Polymarket Chongqing/ZUCK Jun 19 highest temperature 31C YES,BUY_YES,23c,23%,34%-44%,$5,low-to-medium-low,open
