timestamp_utc,paper_trade_id,market,stance,entry_price,implied_probability,estimated_fair_low,estimated_fair_high,simulated_size_usd,confidence,status
2026-06-16T09:13:40Z,PT-20260616-183,Polymarket Hong Kong/HKO Jun 17 highest temperature 28C YES,BUY_YES,0.32,0.32,0.40,0.52,5,medium-low,open
2026-06-16T09:13:40Z,PT-20260616-184,Polymarket Chicago/KORD Jun 16 highest temperature 72-73F YES,BUY_YES,0.26,0.26,0.34,0.44,5,low-to-medium-low,open
