timestamp_utc,paper_trade_id,market,stance,entry_price,implied_probability,estimated_fair_low,estimated_fair_high,simulated_size_usd,confidence,status
2026-06-16T05:07:54Z,PT-20260616-179,Polymarket Hong Kong/HKO Jun 17 highest temperature 29C YES,BUY_YES,0.22,0.22,0.30,0.40,5,medium-low,open
2026-06-16T05:07:54Z,PT-20260616-180,Polymarket Chicago/KORD Jun 16 highest temperature 72-73F YES,BUY_YES,0.30,0.30,0.36,0.46,5,low-to-medium-low,open
